lang,concept_id,phoneme_id,phoneme,phoneme_len,phoneme_loss
Aarlanderveen ZH,344,2002,d i n ə,5,4.361909866333008
Aarlanderveen ZH,353,2011,d o r ə f ə,7,3.4829165935516357
Aarlanderveen ZH,357,2015,x a p ə,5,3.6149048805236816
Aarlanderveen ZH,369,2027,ɦ a u d ə,6,3.6708765029907227
Aarlanderveen ZH,371,2029,j ø ɥ k ə,6,4.243384838104248
Aarlanderveen ZH,374,2032,k ø r ə,5,4.016439437866211
Aarlanderveen ZH,382,2040,k r a k ə,6,3.540022134780884
Aarlanderveen ZH,387,2045,l a t ə,5,3.3301663398742676
Aarlanderveen ZH,389,2047,l e r ə,5,4.097975730895996
Aarlanderveen ZH,398,2056,m e i n ə,6,3.298137664794922
Aarlanderveen ZH,420,2078,s x o d ə,6,4.025551795959473
Aarlanderveen ZH,425,2083,s l ʌ ɥ t ə,7,3.0748965740203857
Aarlanderveen ZH,439,2097,s t e i k ə,7,2.8258750438690186
Aarlanderveen ZH,480,2139,z u k ə,5,3.6545615196228027
Aarlanderveen ZH,482,2141,z a u t ə,6,3.2226130962371826
Aarlanderveen ZH,485,2144,z ʋ ɛ m ə,6,3.8434250354766846
Aarlanderveen ZH,520,2180,ʔ ɔ m,4,4.237431049346924
Aarlanderveen ZH,528,2188,t o s ə,5,4.819643497467041
Aarlanderveen ZH,541,2201,ʋ u z d a x,7,5.2662458419799805
Aarlanderveen ZH,546,2206,z e i ʋ ə n t ə x,10,4.178375244140625
Abbekerk NH,5,2214,b ɪ˞ d ə,5,4.41380500793457
Abbekerk NH,23,2232,d a k ə,5,3.624195098876953
Abbekerk NH,29,2238,d i v ə,5,4.305853366851807
Abbekerk NH,34,2244,d œ y ʋ ə,6,3.723219633102417
Abbekerk NH,36,2246,e w ə,4,5.819585800170898
Abbekerk NH,43,2252,x ɑ ɫ,4,4.206576347351074
Abbekerk NH,59,2268,ɦ e i m ɔ ɫ,7,4.522162914276123
Abbekerk NH,72,2282,k ɑ ɫ ə ʋ ə,7,4.0127034187316895
Abbekerk NH,74,2284,k a m ə r s,7,4.358217239379883
Abbekerk NH,76,2286,k ɑ ɾ ə,5,3.2903995513916016
Abbekerk NH,77,2287,k ɑ s t ɨ,6,5.100131511688232
Abbekerk NH,81,2291,k ɛ ɾ ə v ə ɫ,8,4.006606101989746
Abbekerk NH,83,2293,k l a ʋ ə r,7,4.493030071258545
Abbekerk NH,91,2301,k o r s,5,4.891799449920654
Abbekerk NH,105,2314,m a n d ə,6,3.4696311950683594
Abbekerk NH,107,2316,m a z ə ɫ ə,7,3.8974452018737793
Abbekerk NH,108,2317,m ɑ ɪ,4,5.7648162841796875
Abbekerk NH,118,2327,n e ə ɫ d ə,7,4.806829929351807
Abbekerk NH,129,2337,p e p ə r,6,4.577881336212158
Abbekerk NH,143,2351,ɾ o u k ɦ,6,4.618505954742432
Abbekerk NH,155,2363,s m e i d ɨ,7,5.158751010894775
Abbekerk NH,166,2375,s œ y k ə ɾ,7,3.8929176330566406
Abbekerk NH,226,2433,d ɾ o u x,6,4.293766021728516
Abbekerk NH,231,2438,ɒ i ɣ ə n,6,4.255758762359619
Abbekerk NH,235,2442,v ɫ e o w,6,4.627140998840332
Abbekerk NH,261,2468,k w a t,5,5.098570823669434
Abbekerk NH,263,2470,ɫ a t,4,4.5556745529174805
Abbekerk NH,267,2474,ɫ e i x,5,3.8834309577941895
Abbekerk NH,278,2485,p ɾ o u p ə ɾ,8,3.8879215717315674
Abbekerk NH,285,2492,s k ɛ i v,6,3.566650629043579
Abbekerk NH,287,2494,s k ɛ ɾ ə p,7,3.8565425872802734
Abbekerk NH,294,2501,s t ɒ i v,6,3.8539323806762695
Abbekerk NH,309,2517,v r ɑ i,5,3.8641510009765625
Abbekerk NH,315,2525,z ɑ ɣ t,5,3.587939500808716
Abbekerk NH,337,2548,b r a d ə,6,3.308335304260254
Abbekerk NH,344,2555,d i n ə,5,3.5668838024139404
Abbekerk NH,353,2564,d ɵ ɾ ə ʋ ə,7,4.21751070022583
Abbekerk NH,357,2568,x a b ə,5,4.920624732971191
Abbekerk NH,369,2580,ɦ ɑ w ə,5,4.059578895568848
Abbekerk NH,371,2582,j ø y k ə,6,4.157519340515137
Abbekerk NH,374,2585,k ø ə ɾ ə,6,4.482456684112549
Abbekerk NH,382,2593,k ɾ æ ɡ ə,6,4.939517974853516
Abbekerk NH,387,2598,l ɛ i t ə,6,3.2710940837860107
Abbekerk NH,389,2600,l ɪ r ə,5,4.095884799957275
Abbekerk NH,398,2609,m i n ə,5,3.7480316162109375
Abbekerk NH,420,2631,s k ɵ d ə,6,3.9660613536834717
Abbekerk NH,425,2636,s l œ y t ə,7,3.6425976753234863
Abbekerk NH,439,2649,s t e i k ə,7,3.1281657218933105
Abbekerk NH,480,2691,z u ɡ ə,5,3.9421067237854004
Abbekerk NH,482,2693,s ɑ u t ə,6,3.6437084674835205
Abbekerk NH,485,2696,s w ɵ m ə,6,4.580784320831299
Abbekerk NH,520,2730,ɔ m,3,5.270925998687744
Abbekerk NH,528,2738,t ɵ s n,5,5.80072021484375
Abbekerk NH,541,2751,w u z ə ɣ,6,4.426939964294434
Abbekerk NH,546,2756,s ø y ʋ ə n t ə ɣ,10,4.210601806640625
Achterberg Ut,5,2764,b ɔ ʁ d ə,6,3.515221357345581
Achterberg Ut,23,2780,d ɒ k ə,5,3.5640206336975098
Achterberg Ut,29,2785,d i v ə,5,4.071122169494629
Achterberg Ut,34,2791,d œ y v ə,6,3.2949764728546143
Achterberg Ut,36,2793,ʔ e u ə,5,4.71990966796875
Achterberg Ut,43,2800,ɣ ɑ l,4,4.504382610321045
Achterberg Ut,59,2816,ɦ e m ɔ l,6,4.886419296264648
Achterberg Ut,72,2828,k ɑ l v ʁ ə,7,5.126631736755371
Achterberg Ut,74,2830,d ə k ɒ m ə s,8,5.070006370544434
Achterberg Ut,76,2832,k ɑ ʁ ə,5,3.3791446685791016
Achterberg Ut,77,2833,k ɑ s t ə,6,3.351574659347534
Achterberg Ut,81,2837,k ɛ ʁ ə v ɔ l,8,4.76716947555542
Achterberg Ut,83,2839,k l ɒ v ə ʁ,7,3.7985877990722656
Achterberg Ut,91,2847,k o ʁ s,5,4.439675331115723
Achterberg Ut,105,2861,m ɒ n d ə,6,3.2159688472747803
Achterberg Ut,107,2864,m ɒ z ə l ə,7,3.8654839992523193
Achterberg Ut,108,2865,m æ i,4,4.363402366638184
Achterberg Ut,118,2874,n ɔ l d ə,6,4.3285346031188965
Achterberg Ut,124,2880,p ɒ i ə,5,3.982903242111206
Achterberg Ut,129,2885,p e p ə ʁ,6,3.9834365844726562
Achterberg Ut,143,2899,ʁ o u k,5,5.392029285430908
Achterberg Ut,155,2911,s m e i ə,6,3.6629369258880615
Achterberg Ut,166,2923,s œ y k ə ʁ,7,3.602926015853882
Achterberg Ut,208,2965,s i k t ə s,7,4.81057071685791
Achterberg Ut,226,2983,d ʁ ø x,5,4.4477128982543945
Achterberg Ut,231,2988,ʔ ɛ i ɣ ə,6,3.1752288341522217
Achterberg Ut,235,2992,f l a u,5,4.864205360412598
Achterberg Ut,261,3018,k u ɒ t,5,4.366165637969971
Achterberg Ut,263,3020,l ɒ t,4,3.9348087310791016
Achterberg Ut,267,3024,l e i x,5,3.5659003257751465
Achterberg Ut,278,3035,p ʁ o p ə ʁ,7,4.14123010635376
Achterberg Ut,285,3042,s x e i f,6,3.6357061862945557
Achterberg Ut,287,3044,s x ɛ ʁ ə p,7,3.855724334716797
Achterberg Ut,294,3051,s t ɛ i f,6,3.607974052429199
Achterberg Ut,309,3067,f ʁ ɛ i,5,3.142282485961914
Achterberg Ut,315,3075,s ɑ x t,5,3.7473349571228027
Achterberg Ut,337,3098,b ʁ ɔ i ə,6,3.133190393447876
Achterberg Ut,344,3105,d i n ə,5,3.866755962371826
Achterberg Ut,353,3114,d ʌ ʁ ə v ə,7,4.3125457763671875
Achterberg Ut,357,3118,x ɒ p ə,5,3.982708692550659
Achterberg Ut,369,3130,ɦ ɑ u ə,5,3.310021162033081
Achterberg Ut,371,3132,i ø k ə,5,4.748318672180176
Achterberg Ut,374,3135,k ø ʁ ə,5,3.416656970977783
Achterberg Ut,382,3143,k ʁ ɒ k ə,6,3.4031190872192383
