"","lang","avg_len","lstm","longitude","latitude"
"210","Hengelo Gl",4.73981900452489,3.01097615559896,6.30918,52.0564
"214","Herkingen ZH",4.95515695067265,2.73392044870477,4.07943,51.7121
"216","Heteren Gl",4.79176201372998,3.00631877354213,5.7588,51.96
"217","Hierden Gl",4.67048054919908,3.12641558730811,5.67918,52.3609
"218","Hilvarenbeek NB",4.64125560538117,2.84553875839501,5.14236,51.4866
"219","Hindeloopen Fr - Hylpen Fr",4.8373786407767,3.08562438964844,5.39627,52.9489
"221","Hoedekenskerke Ze",4.75056179775281,3.01008033752441,3.9072,51.4242
"222","Hoenderloo Gl",5.00925925925926,2.82343891688756,5.88725,52.1234
"226","Hollandsche Veld Dr",4.63431151241535,2.86896057128906,6.54104,52.7128
"227","Hollum Fr",4.80093676814988,3.02682644713159,5.63278,53.4459
"228","Holwerd Fr - Holwert Fr",4.91626794258373,2.94597697707842,5.8955,53.3759
"230","Hooghalen Dr",4.42857142857143,2.98632491262336,6.54182,52.9178
"231","Hoonhorst Ov",4.36036036036036,3.26983562268709,6.23898,52.4847
"232","Hoorn NH",4.71658986175115,2.88838750665838,5.05861,52.64
"233","Horn Lb",4.61047835990888,3.03687139143024,5.95573,51.2159
"234","Houten Ut",5.07847533632287,2.87204059801604,5.16415,52.0302
"236","Huijbergen NB",4.8256880733945,2.89940518465909,4.38057,51.4383
"237","Huizen NH",5.23981900452489,2.67712482653166,5.24465,52.2986
"240","Hunsel Lb",4.57762557077626,3.13333674839565,5.8196,51.2003
"242","IJlst Fr - Drylts Fr",4.90602409638554,2.91285969660832,5.61644,53.0244
"243","IJmuiden NH",4.859375,3.05855841385691,4.6008,52.4581
"244","IJsselmuiden Ov",4.6322869955157,3.0546076638358,5.93061,52.5654
"245","IJzendijke Ze",4.66267942583732,3.27661189326534,3.61317,51.3175
"246","Ingen Gl",4.95890410958904,2.97870178222656,5.49545,51.9583
"249","Joure Fr - De Jouwer Fr",4.69638554216867,2.9606616450291,5.79015,52.9757
"250","Jubbega Fr - Jobbegea Fr",4.818401937046,2.97133202646293,6.12003,52.976
"251","Jutphaas Ut",4.7945205479452,2.70903202525356,5.09571,52.0646
"254","Kamerik Ut",4.90970654627539,2.71159063066755,4.90542,52.1266
"255","Kampen Ov",4.39130434782609,3.21047141335227,5.91161,52.5583
"257","Kantens Gn",4.50710900473934,3.09931751598011,6.63673,53.3686
"259","Katwijk aan Zee ZH",4.88111888111888,2.77659089224679,4.41293,52.2083
"261","Kedichem ZH",5.10810810810811,2.91057014465332,4.99883,51.8655
"262","Kerkrade Lb",4.57251908396947,3.11582664207176,6.07661,50.8706
"264","Kessel NB",4.76681614349776,3.04117169296532,5.41061,51.8029
"265","Klaaswaal ZH",4.97309417040359,2.84156290690104,4.44153,51.7688
"267","Kloosterzande Ze",5.04298642533937,2.80134166370739,4.01368,51.3657
"269","Koedijk NH",4.91928251121076,2.89291917232045,4.75333,52.6724
"270","Koekange Dr",4.51708428246014,2.86987748579545,6.33293,52.7
"272","Koewacht Ze",4.80454545454545,2.84717074307528,3.97057,51.2302
"273","Kortgene Ze",4.86800894854586,2.84697442305715,3.79177,51.5595
"275","Koudekerk aan den Rijn ZH",4.93181818181818,2.72435635653409,4.59953,52.1278
"276","Koudum Fr",4.68796068796069,2.98155900543811,5.45091,52.9187
"278","Kruiningen Ze",4.5625,3.25361251831055,4.02862,51.4491
"279","Kuinre Ov",4.31880733944954,3.16715387712445,5.83785,52.796
"280","Lage Zwaluwe NB",4.80454545454545,2.83998680114746,4.70558,51.7152
"281","Laren Gl",4.47963800904977,3.10259601048061,6.37052,52.2017
"282","Laren NH",4.81776765375854,2.98625432794744,5.22651,52.2549
"286","Leende NB",4.56629213483146,3.02241275185033,5.5672,51.3577
"287","Leermens Gn",4.87126436781609,2.95025367067571,6.7997,53.3497
"288","Leeuwarden Fr - Ljouwert Fr",4.75174013921114,2.96104015003551,5.81463,53.2077
"290","Lekkerkerk ZH",4.67415730337079,2.83598572867257,4.68617,51.8993
"291","Lemele Ov",4.43942992874109,3.17455618722098,6.4179,52.4515
"292","Lemmer Fr - De Lemmer Fr",4.8128078817734,2.9262109375,5.71845,52.8466
"293","Lent Gl",4.60592255125285,2.81801550728934,5.88339,51.8673
"295","Lichtenvoorde Gl",4.75586854460094,2.95665317111545,6.57395,51.9926
"297","Lies Fr",4.83170731707317,3.00685867608762,5.31035,53.3972
"299","Lochem Gl",4.48611111111111,3.1968252999442,6.41882,52.1626
"301","Loenen Gl",4.44772727272727,3.24928883143834,6.01683,52.12
"302","Loenen Ut",4.80536912751678,2.79950700726425,5.03034,52.2093
"307","Loon op Zand NB",4.82207207207207,2.93416555304276,5.06837,51.6426
"309","Maasbree Lb",4.58018867924528,3.0878165108817,6.06163,51.3631
"311","Maastricht Lb",4.47586206896552,3.04719876376065,5.69667,50.8476
"312","Makkum Fr",4.78149100257069,3.19576293945312,5.40457,53.0611
"313","Marken NH",5.05605381165919,2.72883739806058,5.10486,52.4585
"314","Marrum Fr - Mearum Fr",4.7708830548926,2.97887136421952,5.79602,53.3252
"315","Marum Gn",4.58997722095672,2.92425646100725,6.25817,53.1461
"321","Meerssen Lb",4.54233409610984,3.15629470557497,5.76937,50.8879
"322","Meije ZH",4.94212962962963,2.81398282732282,4.77996,52.1173
"323","Meijel Lb",4.55454545454545,2.98375554670367,5.89177,51.3568
"324","Meppel Dr",4.49887640449438,2.93404388427734,6.18479,52.7064
"327","Middelburg Ze",4.81348314606742,2.89622606549944,3.61311,51.4983
"328","Middelharnis ZH",5.12925170068027,2.87622014825994,4.16058,51.7544
"329","Middelie NH",4.85454545454546,2.97027802049068,5.0236,52.5371
"330","Midsland Fr - Midslan Fr",4.81774580335731,2.82398644272162,5.30202,53.3932
"331","Midwolda Gn",4.32482598607889,3.13525224165483,7.01357,53.1934
"335","Monnickendam NH",5.00671140939597,2.76089156301398,5.04722,52.4562
"341","Mussel Gn",4.33177570093458,3.30410565070386,7.04317,52.9633
"344","Nederweert Lb",4.63492063492064,2.99110921223958,5.75536,51.2937
"345","Neede Gl",4.58013544018059,3.21709723221628,6.62252,52.1426
"350","Nieuw-Schoonebeek Dr",4.5876993166287,2.85898426600865,7.02867,52.6469
"354","Nij Beets Fr",4.73734939759036,3.02842418964093,5.99078,53.0739
"355","Nijeholtpade Fr",4.68099547511312,2.7620609828404,6.07637,52.9245
"356","Nijmegen Gl",4.54279279279279,3.0079450105366,5.86906,51.8452
"357","Nijverdal Ov",4.44078947368421,3.61554641723633,6.47706,52.3678
"359","Nistelrode NB",4.66591928251121,3.01552059775905,5.57412,51.7102
"360","Noordeloos ZH",4.77303370786517,3.01648112705776,4.94761,51.9036
